commit	model	accuracy	accuracy_drop	size_mb	compression	latency_ms	speedup	prune_mode	quant	status	description
2db0eee	vit_tiny_patch16_224	81.50	0.00	21.081	1.00x	9.594	1.00x	none	none	keep	baseline CIFAR-10 head-only finetune
5265899	vit_tiny_patch16_224	74.10	-7.40	15.020	1.40x	9.594	1.00x	GMP	none	keep	GMP sparsity=0.30
5265899	vit_tiny_patch16_224	35.04	-46.46	10.953	1.93x	9.594	1.00x	GMP	none	discard	GMP sparsity=0.50 too much loss
5265899	vit_tiny_patch16_224	10.61	-70.89	6.901	3.06x	9.594	1.00x	GMP	none	discard	GMP sparsity=0.70 collapsed
5265899	vit_tiny_patch16_224	73.11	-8.39	0.745	28.30x	9.815	0.98x	none	int8	keep	dynamic int8 quant 28x compression
5265899	vit_tiny_patch16_224	23.30	-58.20	20.659	1.02x	9.815	0.98x	attention	none	discard	attention-head 25% too aggressive
5265899	vit_tiny_patch16_224	31.49	-50.01	0.745	28.30x	9.815	0.98x	GMP	int8	discard	GMP-50+int8 dominated by int8 alone
08_gmp30_ftvit_tiny_patch16_224cifar10GMP0.30none81.500097.1600+15.660021.08121.0811.000xfinetune_after_prune(3ep,full_backbone) causes gain - not GMP
09_gmp30_ft_int8vit_tiny_patch16_224cifar10GMP+int80.30int881.500096.2600+14.760021.0810.74528.297xNEW PARETO: best acc at 28x compression
10_attn10vit_tiny_patch16_224cifar10attentionhead_sp=0.10none81.500026.1600-55.340021.08120.9411.007xDISCARD: collapsed; needs post-prune ft
11_ffn25vit_tiny_patch16_224cifar10ffnffn_sp=0.25none81.500027.5100-53.990021.08117.6981.191xDISCARD: collapsed; needs post-prune ft
12_ffn50vit_tiny_patch16_224cifar10ffnffn_sp=0.50none81.500014.7600-66.740021.08114.3141.473xDISCARD: collapsed; needs post-prune ft
13_fullft_baselinevit_tiny_patch16_224cifar10none(full_ft)sp=0.0none81.500097.3800+15.880021.08121.0811.000xTRUE BASELINE: full-backbone 3ep ft; use this vs configs 08-15
14_attn10_ftvit_tiny_patch16_224cifar10attention+fthead_sp=0.10none81.500096.6700-0.71%(vs#13)21.08121.0811.000xNo compression gain; attention zeroing doesn't reduce size
