sparsity	original_accuracy	compressed_accuracy	accuracy_drop	compressed_size_mb	latency_ms	speedup
0.1	97.8700	12.0300	-85.8400	307.847	583.582	2.962x
0.2142857142857143	97.8700	10.0100	-87.8600	283.123	482.657	2.269x
0.3285714285714286	97.8700	10.6200	-87.2500	258.403	590.830	2.946x
0.44285714285714295	97.8700	10.1700	-87.7000	233.679	612.229	1.874x
0.5571428571428572	97.8700	10.0000	-87.8700	208.850	526.776	2.177x
0.6714285714285714	97.8700	12.4400	-85.4300	184.129	706.981	2.247x
0.7857142857142858	97.8700	12.1400	-85.7300	159.406	444.171	3.727x
0.9	97.8700	9.1300	-88.7400	134.682	622.710	2.941x
