sparsity	original_accuracy	compressed_accuracy	accuracy_drop	compressed_size_mb	latency_ms	speedup
0.1	97.8700	91.5600	-6.3100	302.445	762.465	1.614x
0.2142857142857143	97.8700	42.2800	-55.5900	275.383	468.504	2.628x
0.3285714285714286	97.8700	17.4200	-80.4500	248.322	370.287	3.175x
0.44285714285714295	97.8700	9.1400	-88.7300	194.199	98.209	11.768x
0.5571428571428572	97.8700	13.4200	-84.4500	167.138	464.409	2.680x
0.6714285714285714	97.8700	11.1700	-86.7000	113.015	259.730	4.631x
0.7857142857142858	97.8700	10.7700	-87.1000	85.954	193.775	6.080x
0.9	97.8700	7.6400	-90.2300	58.893	187.650	6.530x
